File,RelativePath,Folder,Date,Date1,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment
12030051.JPG,NPR1-2017-11-21-end\100EK113,NPR1,03-Dec-17,,9:25:58,Ok,FALSE,Sunny,TRUE,TRUE,21,FALSE,Jackal
12140106.JPG,NPR1-2017-11-21-end\100EK113,NPR1,14-Dec-17,,19:05:49,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Jackal
01160186.JPG,NPR1-2017-11-21-end\100EK113,NPR1,16-Jan-18,Jan,6:20:38,Ok,FALSE,Sunny,TRUE,TRUE,13,FALSE,Jackal
02040210.JPG,NPR1-2017-11-21-end\100EK113,NPR1,04-Feb-18,Feb,21:58:21,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Jackal
02080214.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Feb-18,Feb,7:01:26,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Jackal
02080216.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Feb-18,Feb,17:11:13,Ok,FALSE,Shade,TRUE,TRUE,37,FALSE,Jackal
02180240.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-Feb-18,Feb,5:58:18,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE,Jackal
02280258.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-Feb-18,Feb,8:42:56,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Jackal
03080267.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Mar-18,,1:20:47,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE,Jackal
03170283.JPG,NPR1-2017-11-21-end\100EK113,NPR1,17-Mar-18,,9:02:01,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE,Jackal
03180285.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-Mar-18,,20:27:23,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Jackal
03190286.JPG,NPR1-2017-11-21-end\100EK113,NPR1,19-Mar-18,,23:13:35,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Jackal
03220289.JPG,NPR1-2017-11-21-end\100EK113,NPR1,22-Mar-18,,1:10:51,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Jackal
03280297.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-Mar-18,,8:30:43,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Jackal
04010301.JPG,NPR1-2017-11-21-end\100EK113,NPR1,01-Apr-18,,4:02:13,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Jackal
04020302.JPG,NPR1-2017-11-21-end\100EK113,NPR1,02-Apr-18,,0:10:39,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE,Jackal
04040304.JPG,NPR1-2017-11-21-end\100EK113,NPR1,04-Apr-18,,9:32:50,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Jackal
04250321.JPG,NPR1-2017-11-21-end\100EK113,NPR1,25-Apr-18,,10:57:44,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Jackal
05080336.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-May-18,,6:09:41,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Jackal
05230347.JPG,NPR1-2017-11-21-end\100EK113,NPR1,23-May-18,,16:32:40,Ok,FALSE,Shade,TRUE,TRUE,23,FALSE,Jackal
05290351.JPG,NPR1-2017-11-21-end\100EK113,NPR1,29-May-18,,23:14:42,Dark,FALSE,Dark,TRUE,TRUE,6,FALSE,Jackal
05300352.JPG,NPR1-2017-11-21-end\100EK113,NPR1,30-May-18,,19:44:12,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Jackal
03290300.JPG,NPR1-2017-11-21-end\100EK113,NPR1,29-Mar-18,,16:20:27,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Klipspringer
02280260.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-Feb-18,Feb,19:14:17,Ok,FALSE,Shade,TRUE,TRUE,22,FALSE,Kudu
03130279.JPG,NPR1-2017-11-21-end\100EK113,NPR1,13-Mar-18,,22:33:52,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Kudu
03150281.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Mar-18,,18:26:43,Ok,FALSE,Shade,TRUE,TRUE,13,FALSE,Kudu
05110339.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-May-18,,17:33:31,Ok,FALSE,Shade,TRUE,TRUE,17,FALSE,Kudu
06070356.JPG,NPR1-2017-11-21-end\100EK113,NPR1,07-Jun-18,,5:05:51,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE,Kudu
06080357.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Jun-18,,23:06:58,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE,Kudu
01120171.JPG,NPR1-2017-11-21-end\100EK113,NPR1,12-Jan-18,Jan,22:55:38,Dark,FALSE,Shade,TRUE,TRUE,22,FALSE,Porcupine
12040055.JPG,NPR1-2017-11-21-end\100EK113,NPR1,04-Dec-17,,0:08:28,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Steenbok
04090309.JPG,NPR1-2017-11-21-end\100EK113,NPR1,09-Apr-18,,12:06:07,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Steenbok
11270026.JPG,NPR1-2017-11-21-end\100EK113,NPR1,27-Nov-17,,19:23:23,Ok,FALSE,Shade,TRUE,TRUE,25,FALSE,Unidentified
01150183.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Jan-18,Jan,22:17:09,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE,Unidentified
01160185.JPG,NPR1-2017-11-21-end\100EK113,NPR1,16-Jan-18,Jan,3:07:29,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Unidentified
01220205.JPG,NPR1-2017-11-21-end\100EK113,NPR1,22-Jan-18,Jan,0:39:06,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Unidentified
03210288.JPG,NPR1-2017-11-21-end\100EK113,NPR1,21-Mar-18,,22:20:12,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Unidentified
04040305.JPG,NPR1-2017-11-21-end\100EK113,NPR1,04-Apr-18,,23:28:11,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE,Unidentified
04250320.JPG,NPR1-2017-11-21-end\100EK113,NPR1,25-Apr-18,,0:28:49,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE,Unidentified
05210344.JPG,NPR1-2017-11-21-end\100EK113,NPR1,21-May-18,,19:52:16,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE,Unidentified
05270349.JPG,NPR1-2017-11-21-end\100EK113,NPR1,27-May-18,,0:42:47,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE,Unidentified
05280350.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-May-18,,17:47:44,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Unidentified
