Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Baboon,NPR1,23-May-18,9:54:17,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE
Jackal,NPR1,23-May-18,16:32:40,Ok,FALSE,Shade,TRUE,TRUE,23,FALSE
Baboon,NPR1,25-May-18,15:49:29,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE
Jackal,NPR1,29-May-18,23:14:42,Dark,FALSE,Dark,TRUE,TRUE,6,FALSE
Jackal,NPR1,30-May-18,19:44:12,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE
Baboon,NPR1,04-Jun-18,11:08:48,Ok,FALSE,Sunny,TRUE,TRUE,12,FALSE
Kudu,NPR1,07-Jun-18,5:05:51,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE
Kudu,NPR1,08-Jun-18,23:06:58,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE
Baboon,NPR1,10-Jun-18,8:05:56,Ok,FALSE,Shade,TRUE,TRUE,10,FALSE
Baboon,NPR1,11-Jun-18,9:10:57,Ok,FALSE,Shade,TRUE,TRUE,3,FALSE
Baboon,NPR1,18-Jun-18,8:16:30,Ok,FALSE,Shade,TRUE,TRUE,10,FALSE
Baboon,NPR1,18-Jun-18,18:12:54,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE
